game_id,season,game_date,start_time_ET,game_type_code,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,away_team_id,away_score,away_team_name,home_score,home_team_id,home_team_name,pbp_link,shift_link,start_time_UTC
2015030171,20152016,2016-04-15,22:30,P,Final,7,Final,7,18,3,Nashville Predators,2,24,Anaheim Ducks,https://api-web.nhle.com/v1/gamecenter/2015030171/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030171,2016-04-16T02:30:00.000000+0000
2015030142,20152016,2016-04-16,15:00,P,Final,7,Final,7,3,4,New York Rangers,2,5,Pittsburgh Penguins,https://api-web.nhle.com/v1/gamecenter/2015030142/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030142,2016-04-16T19:00:00.000000+0000
2015030132,20152016,2016-04-16,19:00,P,Final,7,Final,7,4,1,Philadelphia Flyers,4,15,Washington Capitals,https://api-web.nhle.com/v1/gamecenter/2015030132/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030132,2016-04-16T23:00:00.000000+0000
2015030111,20152016,2016-04-14,20:00,P,Final,7,Final,7,2,5,New York Islanders,4,13,Florida Panthers,https://api-web.nhle.com/v1/gamecenter/2015030111/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030111,2016-04-15T00:00:00.000000+0000
2015030151,20152016,2016-04-14,21:30,P,Final,7,Final,7,30,0,Minnesota Wild,4,25,Dallas Stars,https://api-web.nhle.com/v1/gamecenter/2015030151/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030151,2016-04-15T01:30:00.000000+0000
2015030181,20152016,2016-04-14,22:30,P,Final,7,Final,7,28,4,San Jose Sharks,3,26,Los Angeles Kings,https://api-web.nhle.com/v1/gamecenter/2015030181/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030181,2016-04-15T02:30:00.000000+0000
2015030122,20152016,2016-04-15,19:00,P,Final,7,Final,7,17,2,Detroit Red Wings,5,14,Tampa Bay Lightning,https://api-web.nhle.com/v1/gamecenter/2015030122/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030122,2016-04-15T23:00:00.000000+0000
2015030112,20152016,2016-04-15,19:30,P,Final,7,Final,7,2,1,New York Islanders,3,13,Florida Panthers,https://api-web.nhle.com/v1/gamecenter/2015030112/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030112,2016-04-15T23:30:00.000000+0000
2015030141,20152016,2016-04-13,20:00,P,Final,7,Final,7,3,2,New York Rangers,5,5,Pittsburgh Penguins,https://api-web.nhle.com/v1/gamecenter/2015030141/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030141,2016-04-14T00:00:00.000000+0000
2015030161,20152016,2016-04-13,21:30,P,Final,7,Final,7,16,0,Chicago Blackhawks,1,19,St. Louis Blues,https://api-web.nhle.com/v1/gamecenter/2015030161/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030161,2016-04-14T01:30:00.000000+0000
2015030131,20152016,2016-04-14,19:00,P,Final,7,Final,7,4,0,Philadelphia Flyers,2,15,Washington Capitals,https://api-web.nhle.com/v1/gamecenter/2015030131/play-by-play,https://api.nhle.com/stats/rest/en/shiftcharts?cayenneExp=gameId=2015030131,2016-04-14T23:00:00.000000+0000
